engine,adapter_kind,workload,durability_profile,dataset_size,iterations,mean_us,p50_us,p95_us,p99_us,throughput_per_s,disk_bytes,checkpoint_us,recovery_us,notes
opheap,embedded-native,small_durable_txn,durable,n/a,200,1550.88,1509.39,2071.03,2145.3,644.796,77498,-1,-1,""
opheap,embedded-native,bulk_load,durable,small,1000,124.756,124.756,124.756,124.756,8015.65,291774,-1,-1,""
opheap,embedded-native,point_read,durable,small,300,60.0019,58.844,67.735,78.223,16666.1,291774,-1,-1,""
opheap,embedded-native,range_scan,durable,small,20,55485.8,55406.6,56043.5,56043.5,18.0226,291774,-1,-1,"equality filter + order-by-seq + limit; no secondary index used"
opheap,embedded-native,checkpoint,durable,small,3,31209.7,30996.3,30996.3,30996.3,32.0413,251722,31209.7,-1,""
opheap,embedded-native,recovery,durable,small,3,6217.69,6001.79,6001.79,6001.79,160.831,251722,-1,6217.69,""
opheap,embedded-native,bulk_load,durable,medium,10000,136.356,136.356,136.356,136.356,7333.72,5319138,-1,-1,""
opheap,embedded-native,point_read,durable,medium,300,74.9051,71.293,96.232,109.381,13350.2,5319138,-1,-1,""
opheap,embedded-native,range_scan,durable,medium,10,805248,803347,806307,806307,1.24185,5319138,-1,-1,"equality filter + order-by-seq + limit; no secondary index used"
opheap,embedded-native,checkpoint,durable,medium,3,293108,303927,303927,303927,3.41171,4919086,293108,-1,""
opheap,embedded-native,recovery,durable,medium,3,59417.6,58272.7,58272.7,58272.7,16.83,4919086,-1,59417.6,""
opheap,embedded-native,bulk_load,durable,large,20000,172.902,172.902,172.902,172.902,5783.63,17008721,-1,-1,""
opheap,embedded-native,point_read,durable,large,300,90.7974,91.925,111.237,119.517,11013.5,17008721,-1,-1,""
opheap,embedded-native,range_scan,durable,large,4,1.82277e+06,1.82043e+06,1.82043e+06,1.82043e+06,0.548614,17008721,-1,-1,"equality filter + order-by-seq + limit; no secondary index used"
opheap,embedded-native,checkpoint,durable,large,3,615190,642780,642780,642780,1.62552,16208669,615190,-1,""
opheap,embedded-native,recovery,durable,large,3,117804,119058,119058,119058,8.48868,16208669,-1,117804,""
opheap,embedded-native,bulk_load_per_row_commit,durable,small,1000,1526.61,1526.61,1526.61,1526.61,655.044,387678,-1,-1,"one commit per row, contrast with bulk_load's single commit"
opheap,embedded-native,mixed_read_write,durable,small,200,296.312,65.678,1403.19,1759.45,3374.82,304596,-1,-1,"80/20 read/write mix"
opheap,embedded-native,small_durable_txn,relaxed,n/a,200,188.801,183.745,218.135,251.228,5296.59,77498,-1,-1,""
opheap,embedded-native,bulk_load,relaxed,small,1000,116.259,116.259,116.259,116.259,8601.45,291774,-1,-1,""
opheap,embedded-native,point_read,relaxed,small,300,60.8683,59.467,69.778,80.349,16428.9,291774,-1,-1,""
opheap,embedded-native,range_scan,relaxed,small,20,59836.2,58755.8,66084.1,66084.1,16.7123,291774,-1,-1,"equality filter + order-by-seq + limit; no secondary index used"
opheap,embedded-native,checkpoint,relaxed,small,3,28418.1,28421.9,28421.9,28421.9,35.1889,251722,28418.1,-1,""
opheap,embedded-native,recovery,relaxed,small,3,6389.35,6187.43,6187.43,6187.43,156.51,251722,-1,6389.35,""
opheap,embedded-native,bulk_load,relaxed,medium,10000,135.823,135.823,135.823,135.823,7362.52,5319138,-1,-1,""
